iter	Passed	Remaining
0	7	5912
1	16	6136
2	25	6184
3	32	5958
4	43	6415
5	53	6528
6	59	6303
7	65	5985
8	70	5717
9	75	5506
10	79	5278
11	83	5058
12	86	4866
13	90	4726
14	95	4645
15	100	4551
16	105	4496
17	110	4434
18	114	4363
19	118	4294
20	124	4264
21	127	4185
22	132	4146
23	136	4091
24	140	4023
25	143	3964
26	147	3920
27	151	3862
28	154	3802
29	157	3751
30	161	3699
31	164	3648
32	167	3610
33	171	3566
34	174	3525
35	178	3504
36	181	3470
37	185	3445
38	189	3416
39	192	3383
40	195	3353
41	198	3320
42	202	3295
43	206	3288
44	210	3270
45	213	3235
46	216	3200
47	220	3191
48	223	3169
49	226	3136
50	229	3107
51	231	3077
52	235	3069
53	239	3056
54	243	3042
55	246	3028
56	250	3011
57	253	2997
58	257	2983
59	261	2971
60	264	2958
61	267	2934
62	270	2920
63	274	2913
64	277	2898
65	281	2888
66	285	2883
67	288	2862
68	290	2839
69	293	2823
70	297	2815
71	301	2810
72	305	2800
73	308	2792
74	312	2779
75	315	2764
76	317	2745
77	321	2740
78	324	2730
79	328	2723
80	333	2722
81	335	2704
82	339	2703
83	343	2694
84	347	2689
85	351	2686
86	354	2671
87	358	2671
88	362	2661
89	366	2656
90	370	2655
91	374	2647
92	378	2646
93	382	2638
94	387	2640
95	389	2626
96	393	2619
97	397	2616
98	402	2619
99	405	2609
100	409	2600
101	413	2598
102	416	2589
103	419	2579
104	423	2572
105	426	2561
106	429	2552
107	432	2544
108	436	2537
109	439	2528
110	442	2520
111	445	2507
112	448	2499
113	451	2492
114	454	2482
115	457	2472
116	460	2464
117	463	2453
118	466	2447
119	470	2441
120	472	2429
121	475	2422
122	478	2410
123	482	2406
124	486	2403
125	488	2391
126	490	2380
127	493	2372
128	496	2361
129	499	2354
130	501	2343
131	504	2336
132	508	2331
133	511	2324
134	514	2317
135	518	2314
136	521	2308
137	525	2305
138	529	2299
139	532	2295
140	535	2285
141	539	2283
142	542	2276
143	546	2274
144	550	2268
145	553	2261
146	555	2253
147	558	2247
148	561	2240
149	565	2233
150	568	2227
151	571	2221
152	574	2215
153	577	2208
154	580	2202
155	582	2193
156	585	2187
157	589	2181
158	592	2176
